"aou","year","num_observation"
"01510",2006,118
"01510",2007,136
"01510",2008,302
"01510",2009,210
"01510",2010,154
"01510",2011,192
"01510",2012,164
"01510",2013,115
"01510",2014,95
"01510",2015,106
"01510",2016,135
"01510",2017,190
"01510",2018,153
"01510",2019,168
"01510",2021,173
"01510",2022,177
"01520",2000,212
"01520",2001,105
"01520",2002,80
"01520",2003,101
"01520",2004,55
"01520",2005,49
"01520",2006,63
"01520",2007,98
"01520",2008,47
"01520",2009,53
"01520",2010,81
"01520",2011,69
"01520",2012,74
"01520",2013,37
"01520",2014,69
"01520",2015,55
"01520",2016,47
"01520",2017,58
"01520",2018,36
"01520",2019,119
"01520",2021,73
"01520",2022,52
"01530",2000,207
"01530",2001,253
"01530",2002,238
"01530",2003,194
"01530",2004,145
"01530",2005,209
"01530",2006,196
"01530",2007,349
"01530",2008,286
"01530",2009,297
"01530",2010,327
"01530",2011,280
"01530",2012,269
"01530",2013,198
"01530",2014,166
"01530",2015,316
"01530",2016,190
"01530",2017,255
"01530",2018,305
"01530",2019,340
"01530",2021,167
"01530",2022,217
"01550",2000,31
"01550",2001,90
"01550",2002,21
"01550",2003,23
"01550",2004,27
"01550",2005,22
"01550",2006,39
"01550",2007,25
"01550",2008,49
"01550",2009,255
"01550",2010,48
"01550",2011,54
"01550",2012,45
"01550",2013,40
"01550",2014,37
"01550",2015,9
"01550",2016,13
"01550",2017,13
"01550",2018,43
"01550",2019,37
"01550",2021,23
"01550",2022,59
"01570",2021,4
"01570",2022,14
"01590",2000,225
"01590",2001,78
"01590",2002,174
"01590",2003,145
"01590",2004,453
"01590",2005,471
"01590",2006,767
"01590",2007,278
"01590",2008,127
"01590",2009,341
"01590",2010,289
"01590",2011,90
"01590",2012,797
"01590",2013,46
"01590",2014,54
"01590",2015,106
"01590",2016,159
"01590",2017,502
"01590",2018,346
"01590",2019,437
"01590",2021,434
"01590",2022,256
"01620",2002,1
"01620",2004,8
"01620",2005,3
"01620",2009,5
"01620",2010,1
"01620",2011,1
"01620",2012,5
"01620",2014,1
"01620",2021,2
"01620",2022,5
"01630",2000,9
"01630",2001,15
"01630",2002,31
"01630",2003,35
"01630",2004,38
"01630",2005,54
"01630",2006,51
"01630",2007,32
"01630",2008,39
"01630",2009,87
"01630",2010,21
"01630",2011,13
"01630",2012,86
"01630",2013,6
"01630",2014,24
"01630",2015,2
"01630",2017,64
"01630",2018,4
"01630",2019,14
"01630",2021,34
"01630",2022,27
"01670",2000,1156
"01670",2001,905
"01670",2002,871
"01670",2003,634
"01670",2004,675
"01670",2005,803
"01670",2006,587
"01670",2007,944
"01670",2008,1155
"01670",2009,720
"01670",2010,611
"01670",2011,718
"01670",2012,752
"01670",2013,612
"01670",2014,733
"01670",2015,828
"01670",2016,1082
"01670",2017,683
"01670",2018,752
"01670",2019,616
"01670",2021,809
"01670",2022,603
"01690",2001,375
"01690",2002,7
"01690",2004,22
"01690",2005,17
"01690",2006,12
"01690",2009,15
"01690",2010,39
"01690",2011,14
"01690",2012,3
"01690",2015,48
"01690",2016,20
"01690",2017,117
"01690",2021,2
"01690",2022,6
"01700",2002,8
"01700",2009,6
"01720",2000,18690
"01720",2001,22089
"01720",2002,22393
"01720",2003,22990
"01720",2004,18830
"01720",2005,19090
"01720",2006,21563
"01720",2007,22954
"01720",2008,24472
"01720",2009,23488
"01720",2010,25631
"01720",2011,23069
"01720",2012,22914
"01720",2013,31959
"01720",2014,27335
"01720",2015,23010
"01720",2016,26571
"01720",2017,28061
"01720",2018,29099
"01720",2019,26789
"01720",2021,25499
"01720",2022,30551
"01725",2005,1
"01725",2009,25
"01725",2012,6
"01725",2015,4
"01725",2017,12
"01725",2018,16
"01725",2019,13
"01725",2021,1
"01725",2022,37
"01760",2012,1
"01782",2000,34
"01782",2001,54
"01782",2002,104
"01782",2003,133
"01782",2004,52
"01782",2005,76
"01782",2006,107
"01782",2007,38
"01782",2008,47
"01782",2009,57
"01782",2010,69
"01782",2011,77
"01782",2012,37
"01782",2013,36
"01782",2014,61
"01782",2015,33
"01782",2016,83
"01782",2017,48
"01782",2018,113
"01782",2019,69
"01782",2021,63
"01782",2022,62
"01800",2000,58
"01800",2001,67
"01800",2002,40
"01800",2003,38
"01800",2004,118
"01800",2005,321
"01800",2006,609
"01800",2007,176
"01800",2008,117
"01800",2009,177
"01800",2010,39
"01800",2011,189
"01800",2012,160
"01800",2013,29
"01800",2014,37
"01800",2015,95
"01800",2016,31
"01800",2017,191
"01800",2018,89
"01800",2019,125
"01800",2021,99
"01800",2022,100
"01810",2000,20
"01810",2001,49
"01810",2002,60
"01810",2003,73
"01810",2004,81
"01810",2005,149
"01810",2006,103
"01810",2007,123
"01810",2008,171
"01810",2009,150
"01810",2010,89
"01810",2011,145
"01810",2012,147
"01810",2013,156
"01810",2014,150
"01810",2015,137
"01810",2016,216
"01810",2017,164
"01810",2018,286
"01810",2019,220
"01810",2021,244
"01810",2022,336
"01830",2000,102
"01830",2001,121
"01830",2002,34
"01830",2003,219
"01830",2004,251
"01830",2005,118
"01830",2006,80
"01830",2007,208
"01830",2008,481
"01830",2009,283
"01830",2010,818
"01830",2011,701
"01830",2012,121
"01830",2013,214
"01830",2014,252
"01830",2015,174
"01830",2016,113
"01830",2017,194
"01830",2018,137
"01830",2019,159
"01830",2021,49
"01830",2022,42
"01860",2000,145
"01860",2001,508
"01860",2002,218
"01860",2003,561
"01860",2004,280
"01860",2005,450
"01860",2006,312
"01860",2007,221
"01860",2008,161
"01860",2009,310
"01860",2010,198
"01860",2011,346
"01860",2012,298
"01860",2013,317
"01860",2014,244
"01860",2015,295
"01860",2016,392
"01860",2017,178
"01860",2018,185
"01860",2019,150
"01860",2021,273
"01860",2022,152
"01880",2000,245
"01880",2001,1711
"01880",2002,186
"01880",2003,138
"01880",2004,218
"01880",2005,182
"01880",2006,210
"01880",2007,137
"01880",2008,158
"01880",2009,454
"01880",2010,1085
"01880",2011,258
"01880",2012,249
"01880",2013,564
"01880",2014,721
"01880",2015,277
"01880",2016,120
"01880",2017,98
"01880",2018,205
"01880",2019,196
"01880",2021,103
"01880",2022,64
"01940",2000,3315
"01940",2001,3039
"01940",2002,3458
"01940",2003,3104
"01940",2004,3131
"01940",2005,3159
"01940",2006,3099
"01940",2007,3082
"01940",2008,3084
"01940",2009,3146
"01940",2010,3127
"01940",2011,3223
"01940",2012,3028
"01940",2013,2972
"01940",2014,2524
"01940",2015,2547
"01940",2016,2725
"01940",2017,2801
"01940",2018,2451
"01940",2019,2458
"01940",2021,2200
"01940",2022,1889
"02890",2000,13812
"02890",2001,12196
"02890",2002,12884
"02890",2003,12963
"02890",2004,13352
"02890",2005,14010
"02890",2006,12473
"02890",2007,11184
"02890",2008,9875
"02890",2009,10851
"02890",2010,9817
"02890",2011,8060
"02890",2012,7940
"02890",2013,8165
"02890",2014,8713
"02890",2015,10307
"02890",2016,11476
"02890",2017,10992
"02890",2018,9348
"02890",2019,7862
"02890",2021,6617
"02890",2022,7039
"02940",2000,1915
"02940",2001,2112
"02940",2002,2097
"02940",2003,2778
"02940",2004,2497
"02940",2005,3601
"02940",2006,2967
"02940",2007,2238
"02940",2008,2208
"02940",2009,2212
"02940",2010,2583
"02940",2011,2142
"02940",2012,2248
"02940",2013,1866
"02940",2014,1708
"02940",2015,2065
"02940",2016,1940
"02940",2017,1969
"02940",2018,1834
"02940",2019,2275
"02940",2021,1446
"02940",2022,1822
"02970",2000,16
"02970",2001,17
"02970",2002,21
"02970",2003,20
"02970",2004,14
"02970",2005,20
"02970",2006,17
"02970",2007,24
"02970",2008,16
"02970",2009,4
"02970",2010,10
"02970",2011,9
"02970",2012,19
"02970",2013,10
"02970",2014,19
"02970",2015,13
"02970",2016,10
"02970",2017,20
"02970",2018,15
"02970",2019,7
"02970",2021,18
"02970",2022,11
"02971",2000,74
"02971",2001,116
"02971",2002,81
"02971",2003,118
"02971",2004,93
"02971",2005,145
"02971",2006,134
"02971",2007,181
"02971",2008,135
"02971",2009,133
"02971",2010,121
"02971",2011,153
"02971",2012,129
"02971",2013,129
"02971",2014,136
"02971",2015,116
"02971",2016,100
"02971",2017,150
"02971",2018,145
"02971",2019,132
"02971",2021,103
"02971",2022,89
"03095",2014,20
"03095",2015,29
"03095",2016,27
"03095",2017,26
"03095",2018,28
"03095",2019,18
"03095",2021,24
"03095",2022,22
"03100",2000,1433
"03100",2001,1482
"03100",2002,1849
"03100",2003,1980
"03100",2004,2080
"03100",2005,2365
"03100",2006,2652
"03100",2007,2676
"03100",2008,2781
"03100",2009,3046
"03100",2010,2355
"03100",2011,2666
"03100",2012,2531
"03100",2013,2952
"03100",2014,3016
"03100",2015,2777
"03100",2016,2927
"03100",2017,3206
"03100",2018,2882
"03100",2019,3196
"03100",2021,2496
"03100",2022,2709
"03240",2003,1
"03240",2004,5
"03240",2006,6
"03240",2007,7
"03240",2008,12
"03240",2009,6
"03240",2010,7
"03240",2011,3
"03260",2000,2226
"03260",2001,2589
"03260",2002,2291
"03260",2003,2626
"03260",2004,3189
"03260",2005,2590
"03260",2006,2975
"03260",2007,3093
"03260",2008,3277
"03260",2009,3570
"03260",2010,4074
"03260",2011,4111
"03260",2012,3771
"03260",2013,3687
"03260",2014,4175
"03260",2015,4220
"03260",2016,3733
"03260",2017,3919
"03260",2018,4139
"03260",2019,4239
"03260",2021,3989
"03260",2022,4225
"03290",2000,312
"03290",2001,340
"03290",2002,284
"03290",2003,330
"03290",2004,357
"03290",2005,339
"03290",2006,362
"03290",2007,401
"03290",2008,533
"03290",2009,477
"03290",2010,632
"03290",2011,826
"03290",2012,534
"03290",2013,528
"03290",2014,532
"03290",2015,652
"03290",2016,553
"03290",2017,604
"03290",2018,598
"03290",2019,578
"03290",2021,473
"03290",2022,565
"03300",2000,3
"03300",2001,4
"03300",2002,1
"03300",2003,1
"03300",2004,1
"03300",2005,1
"03300",2008,1
"03300",2009,6
"03300",2010,5
"03300",2011,2
"03300",2012,1
"03300",2017,2
"03300",2018,4
"03300",2019,1
"03300",2022,1
"03310",2000,904
"03310",2001,743
"03310",2002,566
"03310",2003,661
"03310",2004,680
"03310",2005,716
"03310",2006,919
"03310",2007,798
"03310",2008,784
"03310",2009,729
"03310",2010,668
"03310",2011,662
"03310",2012,664
"03310",2013,535
"03310",2014,518
"03310",2015,621
"03310",2016,869
"03310",2017,778
"03310",2018,675
"03310",2019,617
"03310",2021,497
"03310",2022,446
"03330",2000,171
"03330",2001,206
"03330",2002,220
"03330",2003,195
"03330",2004,246
"03330",2005,276
"03330",2006,317
"03330",2007,272
"03330",2008,292
"03330",2009,295
"03330",2010,263
"03330",2011,303
"03330",2012,284
"03330",2013,279
"03330",2014,293
"03330",2015,295
"03330",2016,297
"03330",2017,270
"03330",2018,255
"03330",2019,257
"03330",2021,278
"03330",2022,253
"03340",2000,34
"03340",2001,29
"03340",2002,25
"03340",2003,37
"03340",2004,32
"03340",2005,34
"03340",2006,30
"03340",2007,30
"03340",2008,29
"03340",2009,17
"03340",2010,23
"03340",2011,35
"03340",2012,31
"03340",2013,24
"03340",2014,16
"03340",2015,15
"03340",2016,20
"03340",2017,29
"03340",2018,28
"03340",2019,24
"03340",2021,16
"03340",2022,20
"03420",2000,892
"03420",2001,842
"03420",2002,870
"03420",2003,980
"03420",2004,846
"03420",2005,949
"03420",2006,1024
"03420",2007,1221
"03420",2008,1124
"03420",2009,1296
"03420",2010,1391
"03420",2011,1329
"03420",2012,1218
"03420",2013,1142
"03420",2014,1153
"03420",2015,1314
"03420",2016,1541
"03420",2017,1839
"03420",2018,1816
"03420",2019,1482
"03420",2021,1284
"03420",2022,1206
"03480",2000,207
"03480",2001,169
"03480",2002,172
"03480",2003,190
"03480",2004,143
"03480",2005,189
"03480",2006,187
"03480",2007,186
"03480",2008,201
"03480",2009,246
"03480",2010,214
"03480",2011,205
"03480",2012,185
"03480",2013,149
"03480",2014,137
"03480",2015,210
"03480",2016,227
"03480",2017,244
"03480",2018,215
"03480",2019,180
"03480",2021,181
"03480",2022,194
"03490",2000,160
"03490",2001,204
"03490",2002,147
"03490",2003,180
"03490",2004,151
"03490",2005,174
"03490",2006,170
"03490",2007,191
"03490",2008,163
"03490",2009,194
"03490",2010,182
"03490",2011,179
"03490",2012,156
"03490",2013,158
"03490",2014,148
"03490",2015,190
"03490",2016,194
"03490",2017,213
"03490",2018,202
"03490",2019,167
"03490",2021,143
"03490",2022,149
"03540",2002,2
"03540",2003,2
"03540",2004,3
"03540",2005,1
"03540",2006,2
"03540",2007,3
"03540",2008,2
"03540",2009,1
"03540",2010,2
"03540",2011,1
"03540",2012,3
"03540",2014,1
"03540",2015,3
"03540",2016,1
"03540",2019,3
"03540",2022,1
"03550",2000,76
"03550",2001,101
"03550",2002,80
"03550",2003,76
"03550",2004,74
"03550",2005,92
"03550",2006,103
"03550",2007,96
"03550",2008,63
"03550",2009,87
"03550",2010,85
"03550",2011,66
"03550",2012,89
"03550",2013,60
"03550",2014,69
"03550",2015,121
"03550",2016,120
"03550",2017,113
"03550",2018,119
"03550",2019,64
"03550",2021,80
"03550",2022,68
"03560",2000,12
"03560",2001,15
"03560",2002,8
"03560",2003,10
"03560",2004,15
"03560",2005,28
"03560",2006,24
